anio,edicion
1910,121
1910,122
1910,123
1910,124
1910,125
1910,126
1910,127
1910,128
1910,129
1910,130
1910,131
1910,132
1910,133
1910,134
1910,135
1910,136
1910,137
1910,138
1910,139
1910,140
1910,141
1910,142
1910,143
1910,144
1910,145
1910,146
1910,147
1910,148
1910,149
1910,150
1910,151
1910,152
1910,153
1910,154
1910,155
1910,156
1910,157
1910,158
1910,159
1910,160
1910,161
1910,162
1910,163
1910,164
1910,165
1910,166
1910,167
1910,168
1910,169
1910,170
1910,171
1910,172
1910,173
1910,174
1910,175
1910,176
1910,177
1910,178
1910,179
1910,180
1910,181
1910,182
1910,183
1910,184
1910,185
1910,186
1910,187
1910,188
1910,189
1910,190
1910,191
1910,192
1910,193
1910,194
1910,195
1910,196
1910,197
1910,198
1910,199
1910,200
1910,201
1910,202
1910,203
1910,204
1910,205
1910,206
1910,207
1910,208
1910,209
1910,210
1910,211
1910,212
1910,213
1910,214
1910,215
1910,216
1910,217
1910,218
1910,219
1911,220
1911,221
1911,222
1911,223
1911,224
1911,225
1911,226
1911,227
1911,228
1911,229
1911,230
1911,231
1911,232
1911,233
1911,234
1911,235
1911,236
1911,237
1911,238
1911,239
1911,240
1911,241
1911,242
1911,243
1911,244
1911,245
1911,246
1911,247
1911,248
1911,249
1911,250
1911,251
1911,252
1911,253
1911,254
1911,255
1911,256
1911,257
1911,258
1911,259
1911,260
1911,261
1911,262
1911,263
1911,264
1911,265
1911,266
1911,267
1911,268
1911,269
1911,270
1911,271
1911,272
1911,273
1911,274
1911,275
1911,276
1911,277
1911,278
1911,279
1911,280
1911,281
1911,282
1911,283
1911,284
1911,285
1911,286
1911,287
1911,288
1911,289
1911,290
1911,291
1911,292
1911,293
1911,294
1911,295
1911,296
1911,297
1911,298
1911,299
1911,300
1911,301
1911,302
1911,303
1911,304
1911,305
1911,306
1912,307
1912,308
1912,309
1912,310
1912,311
1912,312
1912,313
1912,314
1912,315
1912,316
1912,317
1912,318
1912,319
1912,320
1912,321
1912,322
1912,323
1912,324
1912,325
1912,326
1912,327
1912,328
1912,329
1912,330
1912,331
1912,332
1912,333
1912,334
1912,335
1912,336
1912,337
1912,338
1912,339
1912,340
1912,341
1912,342
1912,343
1912,344
1912,345
1912,346
1912,347
1912,348
1912,349
1912,350
1912,351
1912,352
1912,353
1912,354
1912,355
1912,356
1912,357
1912,358
1912,359
1912,360
1912,361
1912,362
1912,363
1912,364
1912,365
1912,366
1912,367
1912,368
1912,369
1912,370
1912,371
1912,372
1912,373
1912,374
1912,375
1912,376
1912,377
1912,378
1912,379
1912,380
1912,381
1912,382
1912,383
1913,384
1913,385
1913,386
1913,387
1913,388
1913,389
1913,390
1913,391
1913,392
1913,393
1913,394
1913,395
1913,396
1913,397
1913,398
1913,399
1913,400
1913,401
1913,402
1913,403
1913,404
1913,405
1913,406
1913,407
1913,408
1913,409
1913,410
1913,411
1913,412
1913,413
1913,414
1913,415
1913,416
1913,417
1913,418
1913,419
1913,420
1913,421
1913,422
1913,423
1913,424
1913,425
1913,426
1913,427
1913,428
1913,429
1913,430
1913,431
1913,432
1913,433
1913,434
1913,435
1913,436
1913,437
1913,439
1913,440
1913,441
1913,442
1913,443
1913,445
1913,446
1913,447
1913,448
1913,449
1913,450
1913,451
1913,452
1913,453
1913,454
1913,455
1913,456
1913,457
1913,458
1914,459
1914,460
1914,461
1914,462
1914,463
1914,464
1914,465
1914,466
1914,467
1914,468
1914,469
1914,470
1914,471
1914,472
1914,473
1914,474
1914,475
1914,476
1914,477
1914,478
1914,479
1914,480
1914,481
1914,482
1914,483
1914,484
1914,485
1914,486
1914,494
1914,495
1914,496
1914,497
1914,498
1914,499
1914,500
1914,501
1914,502
1914,503
1914,504
1914,505
1914,506
1914,507
1914,508
1914,509
1914,510
1914,511
1914,512
1914,513
1914,514
1914,515
1914,516
1914,517
1914,518
1914,519
1914,520
1914,521
1914,522
1914,523
1914,524
1914,525
1914,526
1914,527
1914,528
1914,529
1914,530
1914,531
1914,532
1914,533
1914,534
1914,535
1914,536
1915,537
1915,538
1915,539
1915,540
1915,541
1915,542
1915,543
1915,544
1915,545
1915,546
1915,547
1915,548
1915,549
1915,550
1915,551
1915,552
1915,553
1915,554
1915,555
1915,556
1915,557
1915,558
1915,559
1915,560
1915,561
1915,562
1915,563
1915,564
1915,565
1915,566
1915,567
1915,568
1915,569
1915,570
1915,571
1915,572
1915,573
1915,574
1915,575
1915,576
1915,577
1915,578
1915,579
1915,580
1915,582
1915,583
1915,584
1915,585
1915,586
1916,587
1916,588
1916,589
1916,590
1916,591
1916,592
1916,593
1916,594
1916,595
1916,596
1916,597
1916,598
1916,599
1916,600
1916,601
1916,602
1916,603
1916,604
1916,605
1916,606
1916,607
1916,608
1916,609
1916,610
1916,611
1916,612
1916,613
1916,614
1916,615
1916,616
1916,617
1916,618
1916,619
1916,620
1916,621
1916,622
1916,623
1916,624
1916,625
1916,626
1916,627
1916,628
1916,629
1916,630
1916,631
1916,632
1916,633
